STATE,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,NONELSEC,TCAPOUT
Alaska,KETCHIKAN-GATEWAY BOROUGH SCHOOL DISTRICT,2015,50984,3202,38443,9339,49195,46776,29759,16285,732,31,1440
Alaska,NORTHWEST ARCTIC BOROUGH SCHOOLS,2015,86647,17441,55606,13600,85571,76173,33276,38933,3964,143,7981
Alaska,KODIAK ISLAND BOROUGH SCHOOL DISTRICT,2015,62304,5676,45394,11234,60231,55949,27796,26927,1226,0,2008
Alaska,MATANUSKA SUSITNA BOROUGH SCHOOL DISTRICT,2015,337267,18106,260123,59038,393644,305838,177046,122287,6505,26,77978
Alaska,NORTH SLOPE BOROUGH SCHOOLS,2015,86439,11364,34709,40366,84117,82278,34169,42212,5897,315,1467
Alaska,PETERSBURG CITY SCHOOL DISTRICT,2015,12828,550,9853,2425,12285,10704,6073,4338,293,0,1351
Alaska,ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,2015,10710,2468,7188,1054,10626,10052,5083,4531,438,97,77
Alaska,LAKE AND PENINSULA BOROUGH SCHOOLS,2015,31784,2968,14323,14493,31535,17157,8277,8185,695,0,14315
Alaska,DENALI BOROUGH SCHOOL DISTRICT,2015,11385,237,8930,2218,10930,10742,5635,5080,27,0,188
Alaska,YAKUTAT SCHOOL DISTRICT,2015,2704,249,1881,574,2986,2956,1735,1077,144,3,27
Alaska,SKAGWAY SCHOOL DISTRICT,2015,3088,41,1287,1760,3122,3060,1720,1198,142,0,62
Alaska,UNALASKA CITY SCHOOL DISTRICT,2015,12253,296,7584,4373,11211,9935,6064,3244,627,912,233
Alaska,ANCHORAGE SCHOOL DISTRICT,2015,914050,83074,616278,214698,918273,819719,494162,303288,22269,528,84005
Alaska,DILLINGHAM CITY SCHOOL DISTRICT,2015,15013,1865,11274,1874,15085,14113,8398,5352,363,568,0
Alaska,JUNEAU BOROUGH SCHOOL DISTRICT,2015,109512,4514,77234,27764,99068,92779,56947,34261,1571,1695,1582
Alaska,NOME CITY SCHOOL DISTRICT,2015,18567,1504,14255,2808,18188,17202,8528,7928,746,0,896
Alaska,CRAIG CITY SCHOOL DISTRICT,2015,9417,1766,6829,822,9172,9124,4335,4448,341,3,45
Alaska,HYDABURG CITY SCHOOL DISTRICT,2015,2715,557,1908,250,2918,2706,1359,1166,181,0,212
Alaska,KLAWOCK CITY SCHOOL DISTRICT,2015,4825,1190,3276,359,4457,4383,2632,1589,162,0,74
Alaska,SITKA BOROUGH SCHOOLS,2015,35856,2783,23693,9380,34082,28650,19680,8541,429,1538,2808
Alaska,HOONAH CITY SCHOOL DISTRICT,2015,5126,949,3384,793,5270,4911,2840,1879,192,309,42
Alaska,PELICAN CITY SCHOOL DISTRICT,2015,633,44,525,64,630,559,212,332,15,0,71
Alaska,CORDOVA CITY SCHOOL DISTRICT,2015,8591,519,6231,1841,8063,7462,3996,3058,408,0,111
Alaska,VALDEZ CITY SCHOOL DISTRICT,2015,21046,550,10200,10296,20536,17381,10119,6552,710,903,464
Alaska,ST MARYS SCHOOL DISTRICT,2015,12388,1629,10519,240,12632,6051,3134,2454,463,0,6581
Alaska,KAKE CITY SCHOOL DISTRICT,2015,3827,954,2702,171,4073,3854,2011,1625,218,12,207
Alaska,GALENA CITY SCHOOL DISTRICT,2015,37801,1503,34814,1484,34581,31478,15592,14146,1740,307,2796
Alaska,NENANA CITY SCHOOL DISTRICT,2015,11708,1127,10304,277,10866,10808,5520,5027,261,0,58
Alaska,TANANA CITY SCHOOL DISTRICT,2015,1590,125,1428,37,1934,1827,905,922,0,0,107
Alaska,WRANGELL CITY SCHOOL DISTRICT,2015,7401,1417,5256,728,7082,6849,3897,2760,192,0,187
Arizona,FORT HUACHUCA ACCOMMODATION SCHOOL,2015,12703,7256,4695,752,9863,9799,5303,4122,374,0,64
Arizona,COCONINO COUNTY REGIONAL ACCOMODATION DISTRICT,2015,2862,249,2006,607,3008,2990,830,2152,8,0,18
Arizona,GILA COUNTY REGIONAL SCHOOL DISTRICT,2015,929,212,644,73,918,918,464,453,1,0,0
Arizona,GRAHAM COUNTY SPECIAL SERVICES,2015,1568,518,30,1020,1372,1369,490,879,0,0,3
Arizona,MARICOPA COUNTY REGIONAL SCHOOL DISTRICT,2015,4249,1082,2696,471,4359,4359,2000,2344,15,0,0
Arizona,RAINBOW ACCOMMODATION SCHOOL,2015,119,1,88,30,394,382,168,214,0,0,12
Arizona,PIMA ACCOMMODATION DISTRICT,2015,697,209,434,54,900,900,569,331,0,0,0
Arizona,MARY C OBRIEN ACCOMMODATION DISTRICT,2015,4812,277,1702,2833,4661,4583,1943,2446,194,0,78
Arizona,YAVAPAI ACCOMMODATION SCHOOL DISTRICT,2015,1168,0,799,369,1068,1068,509,559,0,0,0
Arizona,ALPINE SCHOOL DISTRICT 7,2015,974,52,429,493,1058,977,639,338,0,0,0
Arizona,CHINLE UNIFIED SCHOOL DISTRICT 24,2015,55772,32775,19814,3183,49468,45121,21173,21668,2280,97,4250
Arizona,CONCHO SCHOOL DISTRICT 6,2015,3429,359,1688,1382,3695,3170,1602,1449,119,0,32
Arizona,GANADO UNIFIED SCHOOL DISTRICT 20,2015,21172,11890,7687,1595,20468,18859,8352,9496,1011,6,1544
Arizona,MCNARY SCHOOL DISTRICT 23,2015,2239,1268,832,139,2074,1917,1107,672,138,0,0
Arizona,SANDERS UNIFIED SCHOOL DISTRICT 18,2015,13816,8482,4696,638,14369,12054,4896,6604,554,1,2314
Arizona,ST JOHNS UNIFIED SCHOOL DISTRICT 1,2015,8189,886,479,6824,7631,7519,3544,3562,413,0,111
Arizona,ROUND VALLEY UNIFIED SCHOOL DISRICT 10,2015,10580,998,722,8860,11445,11171,5629,5172,370,0,0
Arizona,WINDOW ROCK CONSOLIDATED SCHOOL DISTRICT  8,2015,27183,15307,10015,1861,23317,21534,9901,10433,1200,0,983
Arizona,RED MESA UNIFIED SCHOOL DISTRICT 27,2015,9729,5120,4071,538,16295,11211,4019,6740,452,54,5030
Arizona,VERNON ELEMENTARY SCHOOL DISTRICT 9,2015,1617,259,653,705,2215,1937,981,911,45,0,45
Arizona,APACHE SCHOOL DISTRICT 42,2015,157,0,50,107,207,205,103,102,0,0,2
Arizona,ASH CREEK SCHOOL DISTRICT 53,2015,528,31,73,424,546,497,175,298,24,0,49
Arizona,BISBEE UNIFIED SCHOOL DISTRICT 2,2015,7424,856,2408,4160,7512,7512,3631,3591,290,0,0
Arizona,BOWIE SCHOOL DISTRICT 14,2015,1405,56,94,1255,1219,1117,496,563,58,12,90
Arizona,SIERRA VISTA UNIFIED SCHOOL DISTRICT 68,2015,41150,4031,16347,20772,40919,40308,21891,16565,1852,199,399
Arizona,COCHISE SCHOOL DISTRICT 26,2015,1553,21,42,1490,1299,1299,762,473,64,0,0
Arizona,DOUBLE ADOBE SCHOOL DISTRICT 45,2015,739,44,460,235,766,622,432,190,0,0,0
Arizona,DOUGLAS SCHOOL DISTRICT 27,2015,27013,5965,14437,6611,27191,26849,13311,11800,1738,0,261
Arizona,ELFRIDA SCHOOL DISTRICT 12,2015,1246,114,687,445,1202,1202,653,454,95,0,0
Arizona,MCNEAL SCHOOL DISTRICT 55,2015,731,46,349,336,923,757,414,303,40,1,9
Arizona,NACO SCHOOL DISTRICT 23,2015,3125,350,2305,470,3993,3160,2094,873,193,0,0
